Type,Card
Unit,GD01-001 Gundam
Unit,GD01-002 Unicorn Gundam (Destroy Mode)
Unit,GD01-003 Unicorn Gundam 02 Banshee (Destroy Mode)
Unit,GD01-005 Unicorn Gundam (Unicorn Mode)
Unit,GD01-006 Delta Plus
Unit,GD01-023 Char's Gelgoog
Unit,GD01-024 Wing Gundam Zero
Unit,GD01-025 Gundam Deathscythe
Unit,GD01-027 Big Zam
Unit,GD01-029 Shenlong Gundam
Unit,GD01-044 Kshatriya
Unit,GD01-045 Duel Gundam (Assault Shroud)
Unit,GD01-046 Buster Gundam
Unit,GD01-047 Shamblo
Unit,GD01-050 LaGOWE
Unit,GD01-065 Freedom Gundam
Unit,GD01-066 Justice Gundam
Unit,GD01-067 Gundam Aerial Rebuild
Unit,GD01-069 Strike Rouge
Unit,GD01-071 Gundam Pharact
Pilot,GD01-087 Sayla Mass
Pilot,GD01-090 Duo Maxwell
Pilot,GD01-093 Marida Cruz
Pilot,GD01-096 Cagalli Yula Athha
Command,GD01-100 A Show of Resolve
Command,"GD01-105 Citizens, Take a Stand!"
Command,GD01-111 Battle of Aces
Command,GD01-117 The Witch and the Bride
Command,GD01-118 Overflowing Affection
